OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
STARLINK-1350,2020-025E,2026-01-02T20:48:42.000019,15.34256300,.0002145,53.0734,341.8359,87.3235,49.3856,0,C,45535,2,1,.57356E-3,.19345E-3,0,0.272,SpaceX-E
STARLINK-1362,2020-025H,2026-01-02T20:28:42.000010,15.06401553,.0001458,53.0542,41.8900,93.2817,279.2233,0,C,45538,2,1,-.25029E-3,-.37355E-4,0,0.461,SpaceX-E
STARLINK-1368,2020-025K,2026-01-02T20:29:41.999971,15.06402499,.0001395,53.0540,42.1679,93.6029,257.3581,0,C,45540,2,1,-.26055E-3,-.38888E-4,0,0.488,SpaceX-E
STARLINK-1371,2020-025M,2026-01-02T20:42:41.999990,15.26646201,.0001228,53.0537,41.3786,71.0617,153.6352,0,C,45542,2,1,.37248E-1,.10227E-1,0,0.680,SpaceX-E
STARLINK-1372,2020-025N,2026-01-02T20:39:42.000019,15.06402081,.0001389,53.0537,42.1365,91.0152,257.6231,0,C,45543,2,1,-.23936E-3,-.35725E-4,0,0.477,SpaceX-E
STARLINK-1373,2020-025P,2026-01-02T20:28:42.000010,15.22403796,.0001402,53.0553,41.7133,83.7151,358.8105,0,C,45544,2,1,.40682E-1,.98198E-2,0,0.535,SpaceX-E
STARLINK-1294,2020-025W,2026-01-02T19:37:41.999981,15.73220433,.0003101,53.0419,308.5086,139.8712,279.4015,0,C,45551,2,1,.12756E-2,.18103E-2,0,0.272,SpaceX-E
STARLINK-1325,2020-025Z,2026-01-02T20:50:42.000029,15.87084150,.0009702,53.0468,297.6489,108.0670,15.7387,0,C,45554,2,1,.13182E-2,.35815E-2,0,0.265,SpaceX-E
STARLINK-1327,2020-025AA,2026-01-02T20:18:41.999962,15.30874208,.0001279,53.0536,21.1249,88.8799,64.4497,0,C,45555,2,1,.32118E-1,.10042E-1,0,0.489,SpaceX-E
STARLINK-1356,2020-025AK,2026-01-02T20:43:42.000038,15.06393793,.0001478,53.0554,22.1232,88.8755,304.8626,0,C,45564,2,1,-.33195E-3,-.49531E-4,0,0.225,SpaceX-E
STARLINK-1357,2020-025AL,2026-01-02T20:50:42.000029,15.43291832,.0003082,53.0596,353.2955,47.7981,135.6834,0,C,45565,2,1,.30742E-2,.13994E-2,0,0.290,SpaceX-E
STARLINK-1361,2020-025AN,2026-01-02T20:45:41.999962,15.06378749,.0001156,53.0558,22.1173,92.5555,208.6853,0,C,45567,2,1,.90112E-3,.13447E-3,0,0.267,SpaceX-E
STARLINK-1363,2020-025AP,2026-01-02T20:36:41.999962,15.53296443,.000833,53.0501,1.4255,359.2970,69.4879,0,C,45568,2,1,.77902E-3,.50236E-3,0,0.283,SpaceX-E
STARLINK-1366,2020-025AQ,2026-01-02T20:29:41.999971,15.51393349,.0009719,53.0498,1.9868,19.2737,52.3314,0,C,45569,2,1,.26099E-2,.15783E-2,0,0.282,SpaceX-E
